cmdb数据库SN,交付清单SN,猎豹SN,BMC界面SN,飞书云文档SN,主机名,别名,带外地址,带内地址,是否一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0131,GOG4X8312A0131,GOG4X8312A0131,GOG4X8312A0131,MDC-DH1E-A07-POD1-GPU-001,hgx001,10.240.8.1,10.240.0.1,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0028,GOG4X8312A0028,GOG4X8312A0028,GOG4X8312A0028,MDC-DH1E-A08-POD1-GPU-002,hgx002,10.240.8.2,10.240.0.2,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0069,GOG4X8312A0069,GOG4X8312A0069,GOG4X8312A0069,MDC-DH1E-A09-POD1-GPU-003,hgx003,10.240.8.3,10.240.0.3,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0090,GOG4X8312A0090,GOG4X8312A0090,GOG4X8312A0090,MDC-DH1E-A10-POD1-GPU-004,hgx004,10.240.8.4,10.240.0.4,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0035,GOG4X8312A0035,GOG4X8312A0035,GOG4X8312A0035,MDC-DH1E-A11-POD1-GPU-005,hgx005,10.240.8.5,10.240.0.5,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0173,GOG4X8312A0173,GOG4X8312A0173,GOG4X8312A0173,MDC-DH1E-A12-POD1-GPU-006,hgx006,10.240.8.6,10.240.0.6,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0177,GOG4X8312A0177,GOG4X8312A0177,GOG4X8312A0177,MDC-DH1E-A13-POD1-GPU-007,hgx007,10.240.8.7,10.240.0.7,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0006,GOG4X8312A0006,GOG4X8312A0006,GOG4X8312A0006,MDC-DH1E-A14-POD1-GPU-008,hgx008,10.240.8.8,10.240.0.8,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0005,GOG4X8312A0005,GOG4X8312A0005,GOG4X8312A0005,MDC-DH1E-A15-POD1-GPU-009,hgx009,10.240.8.9,10.240.0.9,一致,,,,,,,,,,,,,,,,,
,GOG4X8312A0048,GOG4X8312A0048,GOG4X8312A0048,GOG4X8312A0048,MDC-DH1E-A16-POD1-GPU-010,hgx010,10.240.8.10,10.240.0.10,一致,,,,,,,,,,,,,,,,,
